road_id,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,temperature,humidity,traffic_level,average_speed,road_condition,road_age,maintenance_score,slope,elevation,river_distance,historical_incidents,incident_count_7d,incident_count_30d,previous_disruptions,disruption
NH13_003,25.199821,92.376173,0.43,0.85,0.94,1.77,16.2,66.4,0.3312,50.7,0.2441,19.4,0.5711,1.89,2934.3,0.866,3,1,7,0,0
NH27_004,27.646102,90.491616,0.95,1.64,2.15,3.17,24.9,61.3,0.0357,56.1,0.606,29.5,0.3926,16.49,2794.5,2.57,0,2,5,3,0
NH37_005,28.217738,92.025927,3.9,6.98,8.42,15.6,24.9,55.1,0.7088,37.1,0.6034,13.3,0.5353,9.73,1960.0,1.062,2,1,3,1,0
NH15_004,24.916499,95.911639,1.35,3.55,3.58,7.15,24.1,58.0,0.4747,44.9,0.8839,2.1,1.0,5.92,1572.8,0.605,3,2,3,2,0
NH15_003,24.241221,93.499792,0.93,1.41,2.04,3.79,26.1,77.7,0.2555,58.5,0.4542,26.5,0.2828,0.08,351.7,2.232,2,0,3,1,0
SH01_001,26.417731,91.02111,0.57,1.14,1.21,2.09,23.3,83.5,0.4987,36.4,0.7095,26.5,0.2653,28.04,244.4,3.655,6,0,1,3,0
NH13_003,28.257132,92.107269,0.45,0.65,1.26,1.79,30.0,93.1,0.4068,45.7,0.2611,2.5,0.8692,3.76,2499.5,6.233,6,2,3,3,0
NH27_001,27.579289,97.042576,0.63,2.93,3.69,6.14,25.7,66.6,0.2592,58.1,0.4422,22.3,0.2848,11.15,495.1,0.05,2,3,3,0,0
NH13_007,27.860349,93.026073,15.91,69.39,97.71,125.98,14.5,85.4,0.3606,42.0,0.8633,18.4,0.4664,20.04,2646.4,4.916,1,1,2,1,0
NH13_003,26.215616,93.100314,1.98,8.78,11.79,16.32,33.0,31.0,0.2731,45.4,0.3032,3.7,0.7396,5.76,2996.9,0.05,2,2,4,0,1
NH37_001,25.2922,90.878636,0.12,0.36,0.91,1.14,16.2,89.5,0.3447,49.3,0.712,5.3,0.7631,11.43,248.4,5.231,3,2,5,1,0
SH03_001,26.924784,92.045068,4.83,8.16,13.91,19.89,21.9,96.9,0.6235,34.5,0.7716,28.1,0.1313,2.54,551.8,0.776,8,0,7,1,1
NH27_003,25.124011,95.973083,0.39,1.42,1.29,2.55,37.3,95.4,0.7837,30.0,0.9292,3.2,0.951,1.77,1232.6,2.141,2,1,2,0,0
NH27_003,27.994258,95.753732,1.79,4.08,4.0,7.34,24.9,74.2,0.4352,38.6,0.6261,2.0,0.7756,41.99,647.3,1.752,6,0,5,3,0
NH27_002,25.083316,93.053341,0.76,1.59,1.88,3.24,17.1,68.2,0.4972,40.6,0.7654,24.2,0.3245,3.61,183.3,3.041,2,2,3,1,0
NH27_004,25.601948,96.581122,25.68,41.72,89.19,125.44,24.0,72.8,0.19,57.2,0.5276,1.7,0.8806,40.79,2559.9,3.459,6,0,5,2,0
NH37_001,26.785996,92.627994,0.17,0.64,1.05,1.51,25.1,50.6,0.5495,38.1,0.475,14.1,0.7582,10.15,1629.8,2.611,2,1,2,3,0
NH13_004,26.676905,96.355338,1.85,6.74,6.44,11.46,23.2,61.9,0.429,48.8,0.5098,1.5,1.0,6.43,235.1,1.644,5,1,3,2,0
SH01_001,27.304672,89.943055,0.3,0.94,2.01,2.83,19.0,75.8,0.2654,40.6,0.3308,26.5,0.3551,0.11,1948.2,2.996,5,1,4,0,0
NH15_004,26.405945,92.373673,5.86,11.23,12.13,20.79,14.3,46.6,0.5664,39.9,0.4135,3.0,0.8425,1.72,2226.5,1.038,0,0,4,3,0
NH37_001,29.057103,96.284027,1.8,4.74,7.81,11.14,15.0,75.2,0.5201,41.2,0.6307,19.9,0.4585,9.9,280.4,1.435,7,2,3,1,0
NH15_002,28.619638,96.640084,5.09,22.4,25.39,42.79,17.3,73.8,0.2024,51.8,0.6453,19.3,0.4056,12.28,125.0,4.944,2,0,6,3,0
NH13_006,28.835124,95.524465,2.03,6.39,11.37,20.19,29.8,67.4,0.0548,66.9,0.6083,18.6,0.4331,4.26,1797.3,0.05,4,2,5,2,1
SH02_001,27.462341,94.857967,0.62,0.85,1.81,2.8,14.7,55.7,0.1995,52.9,0.7375,9.4,0.6749,3.24,1105.2,1.749,3,0,1,2,0
NH27_004,27.492544,95.979388,56.05,97.55,198.56,250.0,22.9,68.4,0.5498,35.6,0.495,1.8,1.0,14.23,3184.9,9.231,4,1,7,4,1
NH37_005,27.350593,95.148198,4.81,9.02,11.16,16.08,30.4,76.9,0.2175,53.2,0.844,29.4,0.1,26.27,2316.7,0.364,0,2,6,0,0
NH15_003,26.391863,91.657501,0.54,1.72,2.07,3.42,25.9,88.4,0.1817,45.0,0.5184,15.8,0.4443,3.27,547.9,5.832,4,0,5,3,0
NH27_005,25.771583,93.290024,1.08,4.76,6.46,9.85,30.5,92.7,0.6632,31.4,0.7937,25.5,0.2252,7.08,2479.3,3.357,1,0,4,1,0
NH37_002,27.256016,94.787428,4.57,10.71,11.29,17.87,18.5,92.6,0.4972,36.0,0.8004,12.2,0.6665,14.62,2456.0,1.903,3,0,2,1,0
NH15_004,24.140425,94.226081,2.73,6.85,8.63,16.94,25.8,88.7,0.2261,40.6,0.3496,6.0,0.9873,3.79,2344.2,3.014,3,4,3,1,0
NH15_004,24.04101,96.515252,2.46,8.21,10.39,14.8,28.9,96.9,0.4393,39.0,0.8776,14.4,0.6247,20.34,1938.8,1.89,1,1,4,2,0
NH13_007,28.68403,93.348604,8.05,9.52,16.06,28.59,27.6,52.4,0.3629,48.2,0.5047,5.2,0.9372,2.39,920.3,4.539,9,0,3,0,1
NH13_003,24.255332,91.070503,5.36,8.75,16.45,24.91,27.3,83.1,0.4474,42.2,0.178,9.7,0.6926,60.0,1871.8,0.149,6,1,7,3,0
NH37_002,26.886373,91.352282,0.41,1.0,1.18,2.26,14.8,87.4,0.0464,64.3,0.7278,25.1,0.4506,12.84,2847.1,3.188,3,0,5,3,0
SH01_002,27.382433,96.214636,41.01,83.09,104.19,141.36,26.0,57.3,0.3369,44.1,0.6769,16.1,0.4278,7.83,2126.2,1.718,3,0,6,0,0
NH13_002,25.089942,89.767151,17.81,59.45,58.77,116.33,24.9,74.7,0.489,36.1,0.65,8.6,0.6859,16.54,1922.8,5.597,2,0,4,4,0
SH01_001,28.92652,96.392304,2.37,7.57,13.53,22.68,21.1,60.7,0.1929,53.5,0.3315,5.6,0.8753,21.38,2490.5,1.073,2,1,7,2,0
NH27_005,25.045527,90.128028,1.14,4.57,4.8,7.8,18.4,85.9,0.3548,50.1,0.4685,10.9,0.6135,4.29,2122.7,4.144,2,3,4,2,0
NH13_009,28.864832,92.71577,0.87,4.23,5.85,7.99,24.7,88.0,0.4447,43.6,0.7854,20.2,0.5311,5.93,650.4,6.425,4,1,3,4,0
NH37_004,28.196446,95.861357,0.85,2.45,3.72,4.7,16.1,83.0,0.1846,52.0,0.2641,26.0,0.1801,8.54,2132.6,6.393,1,2,5,0,0
NH13_005,25.324086,92.838638,1.5,2.62,3.14,5.63,19.4,90.9,0.3635,49.0,0.4832,20.6,0.3974,8.62,68.1,3.418,1,0,4,1,0
NH27_003,24.829093,96.032081,0.1,0.14,0.19,0.35,27.7,93.9,0.0924,55.0,0.2584,17.3,0.4748,5.87,2123.0,3.896,1,0,6,2,0
NH27_002,25.73928,90.472301,15.11,20.96,43.22,62.95,28.3,86.0,0.2183,55.2,0.6074,2.0,1.0,11.07,3393.3,1.698,2,1,3,2,1
NH15_001,26.188728,93.638875,10.96,18.67,21.71,38.41,24.9,70.0,0.7005,28.0,0.3362,24.3,0.3458,6.42,2746.9,1.705,2,2,6,0,1
NH13_003,25.351816,94.18505,0.13,0.24,0.36,0.71,19.2,76.3,0.3848,43.5,0.6937,20.7,0.2393,8.28,206.0,2.112,3,1,6,1,0
SH03_001,29.493904,96.559688,4.12,12.25,14.63,25.69,15.3,50.1,0.1889,51.2,0.6338,22.2,0.4128,4.69,3093.8,3.823,4,2,1,2,0
